mdd-ls-eh-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
9,lseh-XuMaoGong-QinQiongFaPei.xml,1.0,1.0,1.625,1.0,2.0,6.0
10,lseh-YangYanZhao-PengBei.xml,1.0,1.0,1.125,1.0,1.125,1.5;3.0;5.0;1.5;3.0
11,lseh-YiLunMing-WenZhaoGuan-1.xml,1.0,1.0,2.0,1.0,3.25,4.0;7.0;6.0;20.5;5.5
12,lseh-YiLunMing-ZhuoFangCao-1.xml,1.0,1.0,1.0625,1.0,1.0625,3.0;1.25;1.75;3.0;1.5;6.0;1.75
13,lseh-ZenNengGou-BaDaChui.xml,1.0,1.0,1.125,1.0,1.125,1.5;3.0;1.5;3.0;9.0
Avg,,1.0,1.0,2.0,0.25,3.5,4.5;9.0;4.5;10.0;5.5;4.5;4.5;4.5;4.0;9.0;6.0;3.75;10.0;3.75;16.0;9.0;15.0;4.0;11.0;4.0;16.5;5.0;7.5;5.5;4.0;7.0;6.25;20.0;5.5;6.0;5.0;4.0;7.0;6.0;20.5;5.5;6.0;9.0
mdd-ls-eh-yb-s2.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-NiangZiBu-SouGuJiuGu.xml,0.9375,0.5,1.0,0.25,1.5,2.0;2.75;2.0;2.0;9.75
2,lseh-WeiKaiYan-RangXuZhou.xml,0.625,0.5,1.0,0.5,1.25
3,lseh-XinZhongYou-WenZhaoGuan.xml,1.0,0.5,1.0,0.25,1.5,2.0;2.0;2.0;2.0
4,lseh-XuMaoGong-QinQiongFaPei.xml,1.0,1.0,1.0,0.5,3.0
5,lseh-YangYanZhao-PengBei.xml,0.75,0.5,1.0,0.5,1.0,5.0
6,lseh-YiLunMing-WenZhaoGuan-1.xml,1.0,0.5,1.0,0.5,1.5,2.0;2.0;2.0;2.0;2.0
7,lseh-YiLunMing-ZhuoFangCao-1.xml,1.0,0.5625,1.0,0.25,1.5,5.0
Avg,,1.0,0.5,1.0,0.25,1.5,2.0;2.75;2.0;2.0;9.75;2.0;2.0;2.0;2.0;3.0;3.0;5.0;2.0;2.0;2.0;2.0;2.0;5.0
mdd-ls-eh-yb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lseh-LaoZhangBu-WuPenJi.xml,1.0,1.0,2.0,0.5,3.0,10.5;8.75
2,lseh-NiangZiBu-SouGuJiuGu.xml,1.0,0.5,1.0,0.25,1.75,2.0;2.5;2.25;2.0;5.0
3,lseh-TuZeiZuo-SouGuJiuGu.xml,1.0,1.0,2.0,0.5,2.5,7.0;4.0
4,lseh-WeiGuoJia-HongYangDong-1.xml,1.0,0.5,1.375,0.25,2.5,2.75;3.75;6.0;7.0
5,lseh-WeiGuoJia-HongYangDong-2.xml,1.0,0.5,1.25,0.25,2.0,3.0;3.75;6.0;7.0
6,lseh-WeiGuoJia-HongYangDong-3.xml,1.0,0.5,1.75,0.5,3.0,3.75;6.0;7.0
7,lseh-WeiKaiYan-RangXuZhou.xml,1.0,0.5,1.0,0.25,1.5,2.75;5.5;3.25
8,lseh-XinZhongYou-WenZhaoGuan.xml,1.0,0.6875,1.5,0.25,2.0,13.5;3.0;4.5;13.0;17.0;11.75;9.5;4.0;5.5;5.5
9,lseh-XuMaoGong-QinQiongFaPei.xml,1.0,1.0,1.75,0.5,2.0,4.0;3.0
10,lseh-YangYanZhao-PengBei.xml,1.0,0.5,1.0,0.5,1.5,2.5;3.0;2.0;3.5;2.0;5.0
11,lseh-YiLunMing-WenZhaoGuan-1.xml,1.0,1.0,1.625,0.25,2.0,15.0;3.0;4.5;13.0;17.0;11.75;9.5;4.0;7.5;5.5
12,lseh-YiLunMing-ZhuoFangCao-1.xml,1.0,0.5,1.0,0.25,1.75,3.5;2.0;4.0;7.5;2.0;2.0;3.0;17.0
13,lseh-ZenNengGou-BaDaChui.xml,1.0,0.5,1.0,0.5,1.5,2.0;4.0;2.0
14,sdeh-WenSanNiang-SanNiangJiaoZi.xml,0.75,0.5,1.0,0.5,1.0,3.5;2.0
Avg,,1.0,0.5,1.4375,0.25,2.75,3.0;3.0;10.5;8.75;5.0;7.0;4.0;3.75;6.0;7.0;3.0;3.75;6.0;7.0;3.0;3.75;6.0;7.0;5.5;3.25;13.5;3.0;4.5;13.0;17.0;11.75;9.5;4.0;5.5;5.5;4.0;3.0;3.0;3.5;5.0;15.0;3.0;4.5;13.0;17.0;11.75;9.5;4.0;7.5;5.5;3.5;4.0;7.5;3.0;17.0;4.0;3.5
mdd-ls-xp-mb.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-TingTaYan-ZhuoFangCao-1.xml,1.75,1.0,2.0,0.5,3.5,10.0;3.75;6.0;4.0;17.0;18.0;5.0;19.5;4.0
2,lsxp-TingTaYan-ZhuoFangCao-2.xml,1.75,1.0,2.0,0.5,3.5,10.0;3.75;6.0;4.0;17.0;18.0;5.0;19.5;4.0
3,lsxp-WoBenShi-KongChengJi-1.xml,1.5,1.0,2.0,0.25,3.5,5.0;10.0;16.75;6.75;14.5;4.0;10.0;13.0;10.0
4,lsxp-WoBenShi-KongChengJi-2.xml,2.0,1.0,2.0,0.25,3.0,4.0;10.0;15.0;8.0;13.0;4.0;10.0;13.0;11.0
5,lsxp-ZhangGongDao-ZhuangYuanPu.xml,2.0,1.0,2.0,1.0,3.0,6.0;5.0;6.0;15.5;4.0;6.0
Avg,,2.0,1.0,2.0,0.25,3.5,10.0;3.75;6.0;4.0;17.0;18.0;5.0;19.5;4.0;10.0;3.75;6.0;4.0;17.0;18.0;5.0;19.5;4.0;5.0;10.0;16.75;6.75;14.5;4.0;10.0;13.0;10.0;4.0;10.0;15.0;8.0;13.0;4.0;10.0;13.0;11.0;6.0;5.0;6.0;15.5;4.0;6.0
mdd-ls-xp-mb-s.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-TingTaYan-ZhuoFangCao-1.xml,1.875,1.0,2.0,0.5,3.5,10.0;4.0;17.0;18.0;5.0;19.5
2,lsxp-TingTaYan-ZhuoFangCao-2.xml,1.875,1.0,2.0,0.5,3.5,10.0;4.0;17.0;18.0;5.0;19.5
3,lsxp-WoBenShi-KongChengJi-1.xml,1.5,1.0,2.0,0.5,3.0,5.0;10.0;16.75;6.75;14.5;10.0;13.0;10.0
4,lsxp-WoBenShi-KongChengJi-2.xml,2.0,1.0,2.0,0.5,3.0,4.0;10.0;15.0;8.0;13.0;10.0;13.0;11.0
5,lsxp-ZhangGongDao-ZhuangYuanPu.xml,2.0,1.0,2.0,1.0,3.0,6.0;6.0;15.5
Avg,,2.0,1.0,2.0,0.5,3.5,10.0;4.0;17.0;18.0;5.0;19.5;10.0;4.0;17.0;18.0;5.0;19.5;5.0;10.0;16.75;6.75;14.5;10.0;13.0;10.0;4.0;10.0;15.0;8.0;13.0;10.0;13.0;11.0;6.0;6.0;15.5
mdd-ls-xp-mb-x.png
index,score,median,Q1,Q3,lower fence,upper fence,outliers
1,lsxp-TingTaYan-ZhuoFangCao-1.xml,1.625,1.0,2.0,0.5,2.5,3.75;6.0;4.0
2,lsxp-TingTaYan-ZhuoFangCao-2.xml,1.75,1.0,2.0,0.5,2.5,3.75;6.0;4.0
3,lsxp-WoBenShi-KongChengJi-1.xml,1.5,1.0,2.0,0.25,3.5,4.0
4,lsxp-WoBenShi-KongChengJi-2.xml,1.5,1.0,2.0,0.25,3.0,4.0
